Index,Indx Code,Grp,Short Desc,Orig,Size1,Size2,Desc,Size1 Dec,Size2 Dec
189,18,FTG,90D EL,.75" 9000# SW 90D ELL A105 CS,.75",,9000# SW 90D ELL A105 CS,0.75,0
190,32,FTG,TEE,.75" 9000# SW TEE A105 CS,.75",,9000# SW TEE A105 CS,0.75,0
191,46,PIP,PIPE,.75" A106B SMLS CS PIPE S/40 BORE,.75",,A106B SMLS CS PIPE S/40 BORE,0.75,0
192,52,SUPT,ANGLE,.75" ANGLE SUPPORT "STRAIGHT" TYPE "A" SHAPE (L = 9.5"),.75",,ANGLE SUPPORT "STRAIGHT" TYPE "A" SHAPE (L = 9.5"),0.75,0
193,50,SP-ITEM,STEAM TRAP,.75" ARMSTRONG 36-AV/LD/DG SW STEAM TRAP,.75",,ARMSTRONG 36-AV/LD/DG SW STEAM TRAP,0.75,0
194,17,FTG,45D EL,.75" BW 45D ELL A234-WPB SMLS CS S/40 BORE,.75",,BW 45D ELL A234-WPB SMLS CS S/40 BORE,0.75,0
195,18,FTG,90D EL,.75" BW LR 90D ELL A234-WPB SMLS CS S/40 BORE,.75",,BW LR 90D ELL A234-WPB SMLS CS S/40 BORE,0.75,0
196,32,FTG,TEE,.75" BW TEE 316/316L SEAMLESS SS S/80 BORE,.75",,BW TEE 316/316L SEAMLESS SS S/80 BORE,0.75,0
197,32,FTG,TEE,.75" BW TEE A234-WPB SMLS CS S/80 BORE,.75",,BW TEE A234-WPB SMLS CS S/80 BORE,0.75,0
198,75,TUBING,TUBE-FTG-REDUCER,.75" CPI x .25" CPI REDUCER 316SS,.75",,CPI x .25" CPI REDUCER 316SS,0.75,0
199,75,TUBING,TUBE-FTG-REDUCER,.75" CPI x 3/8" CPI REDUCER 316SS,.75",,CPI x 3/8" CPI REDUCER 316SS,0.75,0
200,75,TUBING,TUBE-FTG-REDUCER,.75" FEMALE CPI x .5" FEMALE CPI REDUCER 316SS,.75",,FEMALE CPI x .5" FEMALE CPI REDUCER 316SS,0.75,0
201,74,TUBING,TUBE-FTG-ADAPTER,.75" FEMALE CPI x .5" MNPT ADAPTER 316SS,.75",,FEMALE CPI x .5" MNPT ADAPTER 316SS,0.75,0
202,74,TUBING,TUBE-FTG-ADAPTER,.75" FEMALE CPI x .75" MNPT ADAPTER 316SS,.75",,FEMALE CPI x .75" MNPT ADAPTER 316SS,0.75,0
203,58,SUPT,CLEVIS_BEAM ATTACH,.75" HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 3'-6"),.75",,HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT (L= 3'-6"),0.75,0
204,18,FTG,90D EL,.75" LR 90D ELL 316/316L SS S/80 BORE SMLS,.75",,LR 90D ELL 316/316L SS S/80 BORE SMLS,0.75,0
205,18,FTG,90D EL,.75" LR 90D ELL A234-WPB SMLS CS S/80 BORE SMLS,.75",,LR 90D ELL A234-WPB SMLS CS S/80 BORE SMLS,0.75,0
206,18,FTG,90D EL,.75" LR 90D ELL A403-WP304/304L SS S/40s BORE DUAL MARKED,.75",,LR 90D ELL A403-WP304/304L SS S/40s BORE DUAL MARKED,0.75,0
207,18,FTG,90D EL,.75" LR 90D ELL A403-WP316/316L S/10s SEAMLESS SS,.75",,LR 90D ELL A403-WP316/316L S/10s SEAMLESS SS,0.75,0
208,18,FTG,90D EL,.75" LR 90D ELL A403-WP316/316L SS SMLS S/10s BORE "D M",.75",,LR 90D ELL A403-WP316/316L SS SMLS S/10s BORE "D M",0.75,0
209,18,FTG,90D EL,.75" LR 90D ELL A403-WP316/316L SS SMLS S/160 BORE,.75",,LR 90D ELL A403-WP316/316L SS SMLS S/160 BORE,0.75,0
210,74,TUBING,TUBE-FTG-ADAPTER,.75" MNPT x .75" FEMALE TUBE TUBING CONNECTOR 316SS,.75",,MNPT x .75" FEMALE TUBE TUBING CONNECTOR 316SS,0.75,0
211,46,PIP,PIPE,.75" MSWxFSE PIPE TO TUBING ADAPTER CS,.75",,MSWxFSE PIPE TO TUBING ADAPTER CS,0.75,0
212,46,PIP,PIPE,.75" PIPE S/40s BORE A312-TP304/304L SS DUAL MARKED,.75",,PIPE S/40s BORE A312-TP304/304L SS DUAL MARKED,0.75,0
213,37,MISC,ROUND BAR,.75" ROUND THRD PLUG A182-F9,.75",,ROUND THRD PLUG A182-F9,0.75,0
214,37,MISC,ROUND BAR,.75" ROUND THRD PLUG NITRONIC 60 WITH LANYARD,.75",,ROUND THRD PLUG NITRONIC 60 WITH LANYARD,0.75,0
215,46,PIP,PIPE,.75" S/10S A312-TP316/316L SEAMLESS PIPE,.75",,S/10S A312-TP316/316L SEAMLESS PIPE,0.75,0
216,46,PIP,PIPE,.75" S/10s A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE "D M",.75",,S/10s A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE "D M",0.75,0
217,46,PIP,PIPE,.75" S/160 A106B SEAMLESS CS PIPE,.75",,S/160 A106B SEAMLESS CS PIPE,0.75,0
218,46,PIP,PIPE,.75" S/160 A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE,.75",,S/160 A312-TP316/316L SS SEAMLESS PIPE DUAL GRADE,0.75,0
219,46,PIP,PIPE,.75" S/160 BORE A106B SMLS CS PIPE,.75",,S/160 BORE A106B SMLS CS PIPE,0.75,0
220,46,PIP,PIPE,.75" S/160 BORE A106B SMLS KILLED CS PIPE,.75",,S/160 BORE A106B SMLS KILLED CS PIPE,0.75,0
221,46,PIP,PIPE,.75" S/40 BORE A106B SEAMLESS CS PIPE,.75",,S/40 BORE A106B SEAMLESS CS PIPE,0.75,0
